"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,2.090865280E-1,-9.069566497E-1,6.931275401E0
9.982000003E-3,1.538135659E-1,-1.019083734E0,5.870840743E0
1.996400001E-2,1.460104566E-3,-1.104681709E0,4.543753754E0
2.994600000E-2,-5.204528080E-2,-1.207460265E0,2.970449871E0
3.992700001E-2,2.460431602E-2,-1.245885243E0,1.531273513E0
4.990900000E-2,4.805108434E-2,-1.223622846E0,2.287097472E-1
5.989100000E-2,1.777310533E-2,-1.146183784E0,-1.301046998E0
6.987300000E-2,-1.082804023E-1,-9.603405592E-1,-2.945489861E0
7.985500000E-2,-1.137884611E-1,-7.337144673E-1,-4.305500182E0
8.983700001E-2,-6.907527812E-2,-4.806174454E-1,-5.359028109E0
9.981900000E-2,-6.397530008E-2,-2.316394946E-1,-6.243065135E0
1.098010000E-1,-9.586458899E-2,1.086873136E-2,-7.047297024E0
1.197830000E-1,-6.850400515E-2,2.034775499E-1,-7.825759063E0
1.297650000E-1,-4.923959030E-2,3.439230651E-1,-8.266908680E0
1.397470000E-1,-3.155510226E-2,3.996799940E-1,-8.109285872E0
1.497290000E-1,-1.918261093E-2,3.783505207E-1,-7.787252224E0
1.597110000E-1,-1.742954487E-2,2.926527780E-1,-7.570221121E0
1.696930000E-1,-3.481361622E-2,1.344223715E-1,-7.034181719E0
1.796750000E-1,-5.522457641E-2,-7.098110497E-2,-6.051348383E0
1.896570000E-1,-2.710278559E-2,-3.106678301E-1,-4.818743629E0
1.996390000E-1,1.694548678E-2,-5.295201950E-1,-3.487589902E0
2.096210000E-1,6.130869566E-3,-6.983838362E-1,-2.255200326E0
2.196030000E-1,-4.821212945E-2,-8.318728459E-1,-9.769340801E-1
2.295850000E-1,-2.818778213E-2,-9.214406414E-1,6.330669290E-1
2.395670000E-1,4.916322475E-2,-9.341304150E-1,2.302895479E0
2.495480000E-1,1.255760824E-1,-9.133824474E-1,3.648087201E0
2.595300000E-1,4.517229907E-2,-8.322608086E-1,4.809200388E0
2.695120000E-1,-2.841332020E-2,-7.093236843E-1,5.889787475E0
2.794940000E-1,-1.913084708E-2,-6.384422743E-1,6.819900561E0
2.894760000E-1,7.834989404E-2,-5.948889962E-1,7.547915162E0
2.994580000E-1,1.465472310E-1,-5.590917572E-1,8.043553813E0
3.094400000E-1,5.770708490E-2,-5.639455310E-1,8.149138155E0
3.194220000E-1,-4.633956777E-2,-6.133249748E-1,7.859798044E0
3.294040000E-1,-1.048796251E-1,-6.909651813E-1,7.420582686E0
3.393860000E-1,-4.789414141E-2,-8.080419338E-1,6.826875705E0
3.493680000E-1,7.303939797E-2,-9.581431755E-1,5.943567826E0
3.593500000E-1,6.351762755E-2,-1.078668616E0,4.840047374E0
3.693320000E-1,-3.130524343E-2,-1.140797329E0,3.540649876E0
3.793140000E-1,-8.401400048E-2,-1.190599819E0,2.010604278E0
3.892960000E-1,-5.913791684E-2,-1.182945813E0,5.485822642E-1
3.992780000E-1,4.694162998E-3,-1.110157188E0,-7.179632378E-1
4.092600000E-1,2.119516089E-2,-9.748229429E-1,-2.048923422E0
4.192420000E-1,-4.885579825E-2,-7.806684861E-1,-3.490045148E0
4.292240000E-1,-6.816779025E-2,-5.453016838E-1,-4.742914013E0
4.392050000E-1,-3.314896189E-2,-3.132405319E-1,-5.693126902E0
4.491870000E-1,-1.862134675E-2,-7.268995374E-2,-6.440331481E0
4.591690000E-1,-1.525013228E-2,1.216351687E-1,-7.051890596E0
4.691510000E-1,-2.036322087E-2,2.788134418E-1,-7.563812572E0
4.791330000E-1,-4.157948198E-3,3.717532535E-1,-7.839780686E0
4.891150000E-1,-6.620176448E-3,3.882849401E-1,-7.655982817E0
4.990970000E-1,-1.032522353E-2,3.298456742E-1,-7.199487183E0
5.090798333E-1,-2.138887275E-2,2.138035865E-1,-6.741644350E0
5.190618333E-1,-4.755291070E-2,5.285766006E-2,-6.070861126E0
5.290438333E-1,-7.284770523E-2,-1.568892744E-1,-5.101156543E0
5.390258333E-1,-5.253248177E-2,-3.536217687E-1,-3.865041121E0
5.490078333E-1,-1.453517312E-2,-5.408551687E-1,-2.520753964E0
5.589898333E-1,-1.638906939E-2,-6.634780052E-1,-1.244440688E0
5.689718333E-1,-6.384178257E-2,-7.513145864E-1,1.924026310E-2
5.789538333E-1,-6.745413758E-2,-7.959744501E-1,1.466033204E0
5.889358333E-1,2.185628911E-2,-7.878795648E-1,2.954067727E0
5.989178333E-1,9.930655248E-2,-7.399946693E-1,4.226481494E0
6.088988333E-1,7.858497038E-2,-6.573852065E-1,5.259596207E0
6.188808333E-1,2.001585972E-2,-5.690793863E-1,6.146789560E0
6.288628333E-1,-1.986017760E-2,-4.933827943E-1,6.856148620E0
6.388448333E-1,5.157231415E-2,-4.778137055E-1,7.375775473E0
6.488268333E-1,9.400078900E-2,-4.827139646E-1,7.679944707E0
6.588088333E-1,8.386135161E-2,-5.113547963E-1,7.638791419E0
6.687908333E-1,7.960180119E-3,-5.820105037E-1,7.245143412E0
6.787728333E-1,-5.857777186E-2,-6.612037307E-1,6.652018229E0
6.887548333E-1,-2.265010346E-2,-7.763538256E-1,5.888022201E0
6.987368333E-1,4.450472977E-2,-8.973657542E-1,4.943315050E0
7.087188333E-1,7.051394898E-2,-9.785531741E-1,3.834978247E0
7.187008333E-1,2.102514395E-2,-1.014178213E0,2.530520568E0
7.286828333E-1,-3.698021290E-2,-1.010016749E0,1.087107902E0
7.386648333E-1,-3.830890129E-2,-9.513592359E-1,-2.892985958E-1
7.486468333E-1,3.691090512E-2,-8.650025851E-1,-1.525393553E0
7.586288333E-1,2.269580310E-2,-7.342436403E-1,-2.746269962E0
7.686108333E-1,-1.670899888E-2,-5.400887449E-1,-3.958560319E0
7.785918333E-1,-5.246088079E-2,-3.427291368E-1,-5.063472993E0
7.885738333E-1,-3.287974786E-2,-1.364480663E-1,-5.910721677E0
7.985558333E-1,-3.105895459E-2,5.083737396E-2,-6.507121301E0
8.085378333E-1,-4.454268185E-2,1.781561825E-1,-6.931746687E0
8.185198333E-1,-4.838208242E-2,2.736371210E-1,-7.262689152E0
8.285018333E-1,-4.713179240E-2,3.101742520E-1,-7.353771231E0
8.384838333E-1,-4.972989761E-2,2.745281636E-1,-7.069063284E0
8.484658333E-1,-5.541603617E-2,2.006286402E-1,-6.556460107E0
8.584478333E-1,-4.077950065E-2,7.210983686E-2,-5.925650203E0
8.684298333E-1,-5.243066256E-2,-6.306909129E-2,-5.137095870E0
8.784118333E-1,-5.506626304E-2,-2.203515910E-1,-4.146900889E0
8.883938333E-1,-2.997599772E-2,-3.810618746E-1,-2.924107178E0
8.983758333E-1,1.321389425E-2,-5.226467930E-1,-1.603656780E0
9.083578333E-1,1.577490161E-2,-6.271640186E-1,-3.496108711E-1
9.183398333E-1,-2.986797955E-2,-6.757153505E-1,8.998981833E-1
9.283218333E-1,-3.842453912E-2,-6.981502399E-1,2.242534672E0
9.383028333E-1,4.029475277E-2,-6.813105512E-1,3.525747662E0
9.482848333E-1,7.209143640E-2,-6.167549515E-1,4.633564063E0
9.582668333E-1,5.981911747E-2,-5.388615605E-1,5.560834233E0
9.682488333E-1,1.917307494E-2,-4.710858992E-1,6.295293635E0
9.782308333E-1,3.220207840E-3,-4.358149096E-1,6.802939543E0
9.882128333E-1,3.231995462E-2,-4.334733921E-1,7.130256734E0
9.981948333E-1,4.984672772E-2,-4.577896231E-1,7.241719283E0
1.008176833E0,5.041776314E-2,-5.141716924E-1,7.015109856E0
1.018158833E0,5.729704890E-3,-5.920452029E-1,6.541001238E0
1.028140833E0,-1.973203221E-2,-6.772593078E-1,5.860487663E0
1.038122833E0,1.158523455E-2,-7.925342408E-1,4.982439939E0
1.048104833E0,3.775982033E-2,-8.855154946E-1,3.983247848E0
1.058086833E0,6.136316612E-2,-9.343201572E-1,2.855526356E0
1.068068833E0,1.831125017E-2,-9.424344845E-1,1.554128525E0
1.078050833E0,-3.652189169E-3,-9.078919119E-1,2.105500495E-1
1.088032833E0,2.064341214E-3,-8.131446527E-1,-1.054433661E0
1.098013833E0,3.021262723E-2,-6.879649749E-1,-2.247156311E0
1.107995833E0,8.452314679E-3,-5.254759683E-1,-3.374601815E0
1.117977833E0,-2.757054457E-2,-3.513096334E-1,-4.409446135E0
1.127959833E0,-5.909691324E-2,-1.773732403E-1,-5.300714412E0
1.137941833E0,-7.739944741E-2,-2.091329768E-2,-6.031708755E0
1.147923833E0,-8.487568821E-2,1.004898097E-1,-6.509716880E0
1.157905833E0,-9.951779229E-2,1.947459027E-1,-6.778865971E0
1.167887833E0,-1.048651715E-1,2.480448814E-1,-6.916713495E0
1.177869833E0,-8.143454698E-2,2.662255559E-1,-6.811838420E0
1.187851833E0,-4.542054992E-2,2.416475158E-1,-6.443215912E0
1.197833833E0,-1.858468973E-2,1.570214215E-1,-5.873128758E0
1.207815833E0,1.705855731E-2,4.302571312E-2,-5.101982170E0
1.217797833E0,3.061539075E-2,-9.026960760E-2,-4.222617654E0
1.227779833E0,3.991995539E-2,-2.404110490E-1,-3.188268009E0
1.237761833E0,4.160071925E-2,-3.835678451E-1,-1.977635922E0
1.247743833E0,3.841833559E-2,-5.103321183E-1,-7.281713068E-1
1.257724833E0,1.293475365E-2,-6.058047245E-1,4.855364156E-1
1.267706833E0,-3.794241792E-2,-6.534693262E-1,1.726969880E0
1.277688833E0,-2.524714429E-2,-6.556348425E-1,2.953934995E0
1.287670833E0,-2.922630245E-2,-6.271472079E-1,4.037587777E0
1.297652833E0,-2.355706142E-2,-5.674076673E-1,4.964181424E0
1.307634833E0,-1.181066299E-2,-4.797394860E-1,5.754071846E0
1.317616833E0,-7.622613050E-3,-4.059312522E-1,6.331166888E0
1.327598833E0,2.835068190E-2,-3.660865706E-1,6.669357562E0
1.337580833E0,4.327597395E-2,-3.500920969E-1,6.820829684E0
1.347562833E0,6.990474220E-2,-3.756941307E-1,6.730831094E0
1.357544833E0,8.003069445E-2,-4.416896072E-1,6.354731167E0
1.367526833E0,5.935049968E-2,-5.273963401E-1,5.798047001E0
1.377508833E0,5.969353024E-2,-6.300313470E-1,5.034840932E0
1.387490833E0,4.047804471E-2,-7.342249292E-1,4.103605181E0
1.397472833E0,2.842090331E-2,-8.200962612E-1,3.036041012E0
1.407454833E0,-1.893438064E-3,-8.517261896E-1,1.870840037E0
1.417435833E0,-1.021529588E-2,-8.630510768E-1,6.440322125E-1
1.427417833E0,-2.074587545E-2,-8.002660140E-1,-5.682751018E-1
1.437399833E0,-1.843821698E-2,-6.849475193E-1,-1.745185127E0
1.447381833E0,-2.937592722E-2,-5.452100287E-1,-2.867062327E0
1.457363833E0,-1.540580526E-2,-3.592722255E-1,-3.870078498E0
1.467345833E0,-1.918929183E-2,-1.974407382E-1,-4.728300067E0
1.477327833E0,-2.478140443E-2,-3.577143811E-2,-5.473865671E0
1.487309833E0,-2.254104375E-2,1.119291562E-1,-6.052949935E0
1.497291833E0,-3.335277390E-2,2.089416998E-1,-6.405601943E0
1.507273833E0,-3.791501366E-2,2.677398386E-1,-6.529661148E0
1.517256208E0,-3.897308561E-2,2.834615397E-1,-6.477163092E0
1.527238208E0,-4.174019819E-2,2.432804970E-1,-6.216263838E0
1.537220208E0,-4.273321986E-2,1.637722512E-1,-5.777268920E0
1.547202208E0,-4.663085961E-2,6.647260934E-2,-5.117753865E0
1.557184208E0,-3.545482052E-2,-7.510777742E-2,-4.260152101E0
1.567165208E0,-3.370621067E-2,-1.983512959E-1,-3.307003909E0
1.577147208E0,-3.177576156E-2,-3.317571290E-1,-2.242883166E0
1.587129208E0,-3.215696348E-2,-4.353700827E-1,-1.096862812E0
1.597111208E0,-2.607910258E-2,-5.075289631E-1,9.115984619E-2
1.607093208E0,-2.645039164E-2,-5.411890447E-1,1.290571711E0
1.617075208E0,1.021380667E-3,-5.561070460E-1,2.461494772E0
1.627057208E0,1.393585179E-2,-5.221891022E-1,3.517974374E0
1.637039208E0,1.027235191E-2,-4.810752824E-1,4.415077588E0
1.647021208E0,2.057657115E-2,-4.226797244E-1,5.214560952E0
1.657003208E0,4.115818553E-2,-3.750082523E-1,5.848803756E0
1.666985208E0,6.400968902E-2,-3.456417811E-1,6.246105688E0
1.676967208E0,7.251746088E-2,-3.370867199E-1,6.438458617E0
1.686949208E0,4.589908971E-2,-3.472100043E-1,6.416700543E0
1.696931208E0,3.397504555E-2,-3.990177968E-1,6.125222105E0
1.706913208E0,3.491120305E-2,-4.682657871E-1,5.664659733E0
1.716895208E0,2.846578069E-2,-5.603164566E-1,5.024156899E0
1.726876208E0,3.572931988E-2,-6.506749418E-1,4.187418001E0
1.736858208E0,2.804160174E-3,-7.179866266E-1,3.204342590E0
1.746840208E0,-9.598789215E-3,-7.464030714E-1,2.116333047E0
1.756822208E0,-3.080610135E-2,-7.631103207E-1,9.743665677E-1
1.766804208E0,-1.472511627E-2,-7.141080223E-1,-1.704393196E-1
1.776786208E0,-7.445013011E-3,-6.285420612E-1,-1.288128160E0
1.786768208E0,-2.038768781E-3,-5.002443556E-1,-2.418468035E0
1.796750208E0,-4.862809489E-3,-3.466040866E-1,-3.442056465E0
1.806732208E0,1.926594974E-2,-1.755473010E-1,-4.273365054E0
1.816714208E0,1.965352878E-2,-3.455397472E-2,-4.984287660E0
1.826696208E0,7.045351253E-3,9.826560192E-2,-5.574464092E0
1.836678208E0,-6.784222824E-3,1.922179321E-1,-6.005750626E0
1.846660208E0,-3.453486163E-2,2.476368188E-1,-6.212103544E0
1.856642208E0,-3.799032397E-2,2.589343704E-1,-6.179724002E0
1.866624208E0,-5.295220679E-2,2.165893462E-1,-5.957911631E0
1.876605208E0,-7.089931704E-2,1.520670757E-1,-5.604945627E0
1.886587208E0,-8.261725598E-2,6.239446878E-2,-5.076430423E0
1.896569208E0,-8.014312545E-2,-5.063732609E-2,-4.320495951E0
1.906551208E0,-6.192741330E-2,-1.677349824E-1,-3.401671500E0
1.916533208E0,-3.466385669E-2,-2.674745943E-1,-2.396238676E0
1.926515208E0,-3.283955282E-2,-3.636820494E-1,-1.338131209E0
1.936497208E0,-2.660809287E-2,-4.320450635E-1,-2.787917340E-1
1.946479208E0,-2.615825012E-2,-4.719179580E-1,8.545998037E-1
1.956461208E0,8.170588519E-3,-4.893812522E-1,2.020571442E0
1.966443208E0,3.484633550E-2,-4.705079019E-1,3.078188328E0
1.976425208E0,2.015911650E-2,-4.369077542E-1,3.967919957E0
1.986407208E0,-6.821233872E-3,-4.045784989E-1,4.708987298E0
1.996389208E0,2.757546902E-3,-3.598347276E-1,5.359929750E0
2.006371208E0,3.425715543E-2,-3.366353148E-1,5.833715601E0
2.016353208E0,6.693020878E-2,-3.376179394E-1,6.087472481E0
2.026335208E0,5.004125727E-2,-3.477157885E-1,6.123286677E0
2.036316208E0,1.686234668E-2,-3.789060062E-1,5.892455560E0
2.046298208E0,-1.809694972E-3,-4.334669602E-1,5.485189388E0
2.056280208E0,2.180227546E-2,-4.969650909E-1,4.937158517E0
2.066262208E0,5.787018567E-2,-5.776253843E-1,4.217408955E0
2.076244208E0,3.489355177E-2,-6.450025579E-1,3.347355545E0
2.086226208E0,1.313430816E-3,-6.712524632E-1,2.305753598E0
2.096208208E0,-3.466673462E-2,-6.765278211E-1,1.197817914E0
2.106190208E0,-1.751982953E-2,-6.587560862E-1,1.178547245E-1
2.116172208E0,7.947599469E-3,-5.819312739E-1,-9.161633831E-1
2.126154208E0,-2.293945841E-2,-4.886567822E-1,-1.947559599E0
2.136136208E0,-4.945443437E-2,-3.572654611E-1,-3.011882071E0
2.146118208E0,-5.378055168E-2,-2.117482902E-1,-3.887762232E0
2.156100208E0,-5.402301470E-2,-7.871185496E-2,-4.552225201E0
2.166082208E0,-3.667126064E-2,5.955031000E-2,-5.110090504E0
2.176064208E0,-4.619378937E-2,1.742724618E-1,-5.592968776E0
2.186045208E0,-4.623669789E-2,2.532182054E-1,-5.891678465E0
2.196027208E0,-1.986936869E-2,2.951476387E-1,-5.949288742E0
2.206009208E0,5.333418986E-3,2.911313324E-1,-5.746699092E0
2.215991208E0,1.646731701E-2,2.521992550E-1,-5.390056944E0
2.225973208E0,1.003143749E-2,1.724801441E-1,-4.963790830E0
2.235955208E0,6.252811421E-3,6.275100276E-2,-4.337210802E0
2.245937208E0,8.841355518E-3,-6.595717728E-2,-3.497118525E0
2.255919208E0,3.201651153E-2,-1.875957812E-1,-2.532639014E0
2.265901208E0,1.825045740E-2,-2.978551188E-1,-1.506569027E0
2.275883208E0,-2.935569950E-2,-3.869539677E-1,-5.107203734E-1
2.285865208E0,-6.001442361E-2,-4.501698241E-1,5.218452859E-1
2.295847208E0,-4.408946782E-2,-4.770591223E-1,1.625296741E0
2.305829208E0,1.059265142E-2,-4.847490880E-1,2.710118381E0
2.315811208E0,1.876627319E-2,-4.587883276E-1,3.610451013E0
2.325793208E0,-1.340214718E-2,-3.965593350E-1,4.321331518E0
2.335774208E0,-2.269901907E-2,-3.466492563E-1,4.932853212E0
2.345756208E0,6.260211803E-3,-3.114726993E-1,5.447171962E0
2.355738208E0,7.700348128E-2,-3.110019985E-1,5.758851945E0
2.365720208E0,9.275644669E-2,-3.144211578E-1,5.847185247E0
2.375702208E0,4.398443721E-2,-3.401959768E-1,5.689784634E0
2.385684208E0,-6.822914947E-3,-3.778497067E-1,5.311658646E0
2.395666208E0,-7.285886519E-3,-4.435037059E-1,4.799559499E0
2.405648208E0,4.660802806E-2,-5.107887858E-1,4.193445895E0
2.415630208E0,6.396656580E-2,-5.773105118E-1,3.415927597E0
2.425612208E0,2.973873781E-2,-6.038115549E-1,2.462057274E0
2.435594208E0,-3.046061313E-2,-5.996306495E-1,1.386719232E0
2.445576208E0,-2.845841685E-2,-5.828997190E-1,3.361201751E-1
2.455558208E0,1.819856336E-2,-5.402969058E-1,-6.382440537E-1
2.465540208E0,1.359851313E-2,-4.673071361E-1,-1.585066143E0
2.475522208E0,-2.526020003E-2,-3.401772657E-1,-2.606651900E0
2.485503208E0,-3.933790161E-2,-2.116316383E-1,-3.528583562E0
2.495485208E0,-3.541924386E-2,-8.786362454E-2,-4.234464113E0
2.505467208E0,-1.790680101E-2,3.601811752E-2,-4.749873953E0
2.515448583E0,-3.032014291E-2,1.335102790E-1,-5.188339114E0
2.525430583E0,-4.618158788E-2,2.250949254E-1,-5.555333757E0
2.535412583E0,-4.919699699E-2,2.709416277E-1,-5.685530784E0
2.545394583E0,-4.123945269E-2,2.752296102E-1,-5.549150911E0
2.555376583E0,-3.095522362E-2,2.268930173E-1,-5.209752202E0
2.565358583E0,-2.925866313E-2,1.712395111E-1,-4.801255192E0
2.575340583E0,-4.135714618E-2,9.185931936E-2,-4.282574419E0
2.585322583E0,-5.254355494E-2,-2.212747201E-2,-3.559527027E0
2.595304583E0,-2.429016522E-2,-1.305836745E-1,-2.637803527E0
2.605286583E0,1.197322472E-2,-2.334258190E-1,-1.647039612E0
2.615268583E0,9.697634568E-3,-3.093279406E-1,-7.016138381E-1
2.625250583E0,-2.618333833E-2,-3.654721744E-1,2.628253269E-1
2.635232583E0,-3.079525659E-2,-3.940976572E-1,1.270725092E0
2.645213583E0,2.971227916E-2,-4.095123795E-1,2.317386634E0
2.655195583E0,6.629012140E-2,-4.019229859E-1,3.258570837E0
2.665177583E0,3.340311477E-2,-3.661213616E-1,3.988647752E0
2.675159583E0,-9.887586851E-3,-3.357833755E-1,4.566754947E0
2.685141583E0,-2.198308233E-2,-3.059064424E-1,5.056487324E0
2.695123583E0,3.414079584E-2,-3.092530963E-1,5.407451241E0
2.705105583E0,6.735782297E-2,-3.041414604E-1,5.571431141E0
2.715087583E0,4.573531285E-2,-3.257746965E-1,5.500519034E0
2.725069583E0,-8.502125647E-3,-3.631603315E-1,5.163642229E0
2.735051583E0,-3.011454932E-2,-3.992709813E-1,4.688560635E0
2.745033583E0,7.042258624E-3,-4.588201949E-1,4.109202136E0
2.755015583E0,6.846561452E-2,-5.193227971E-1,3.434958529E0
2.764997583E0,4.772184955E-2,-5.604073808E-1,2.582052664E0
2.774979583E0,-1.293429684E-2,-5.589284737E-1,1.564231344E0
2.784961583E0,-3.976551580E-2,-5.311005512E-1,5.318083566E-1
2.794942583E0,-8.695851211E-3,-5.026960932E-1,-4.240003181E-1
2.804924583E0,1.125589927E-2,-4.275485547E-1,-1.318853524E0
2.814906583E0,-5.893600518E-3,-3.293916379E-1,-2.251650481E0
2.824888583E0,-5.447700989E-2,-2.184377973E-1,-3.166150331E0
2.834870583E0,-5.821220668E-2,-8.684328541E-2,-3.914515582E0
2.844852583E0,-4.209827162E-2,1.137005702E-2,-4.451077141E0
2.854834583E0,-4.430739995E-2,1.096325161E-1,-4.854018127E0
2.864816583E0,-6.594844757E-2,1.871382366E-1,-5.211819777E0
2.874798583E0,-7.534291314E-2,2.269689580E-1,-5.412751742E0
2.884780583E0,-6.780160380E-2,2.333485626E-1,-5.355120415E0
2.894762583E0,-4.631383545E-2,2.098704569E-1,-5.072744923E0
2.904744583E0,-2.734859248E-2,1.555685346E-1,-4.663340424E0
2.914726583E0,-1.681545018E-2,1.055510134E-1,-4.179142436E0
2.924708583E0,-7.290052660E-3,3.414788559E-2,-3.577431786E0
2.934690583E0,8.364113085E-3,-6.417786956E-2,-2.751572801E0
2.944672583E0,4.519196033E-2,-1.603832781E-1,-1.779092546E0
2.954653583E0,6.108355958E-2,-2.312709738E-1,-8.365728378E-1
2.964635583E0,2.680413905E-2,-2.955504388E-1,5.389554083E-2
2.974617583E0,-1.662606435E-2,-3.351349193E-1,1.004815359E0
2.984599583E0,1.662052777E-3,-3.728900984E-1,2.001044666E0
2.994581583E0,4.749227325E-2,-3.840401539E-1,2.918868073E0
3.004563583E0,2.443871191E-2,-3.698463303E-1,3.686838453E0
3.014545583E0,-2.510569649E-2,-3.355828160E-1,4.265960140E0
3.024527583E0,-6.778976776E-2,-3.024030831E-1,4.727120683E0
3.034509583E0,-4.478415359E-2,-2.839136025E-1,5.090565482E0
3.044491583E0,-2.390579302E-3,-2.848561737E-1,5.304711569E0
3.054473583E0,2.002351591E-2,-2.986608651E-1,5.272003999E0
3.064455583E0,-8.568637725E-3,-3.106014642E-1,5.027835383E0
3.074437583E0,-4.794444574E-2,-3.438785532E-1,4.595283512E0
3.084419583E0,-1.734466888E-2,-3.887728903E-1,4.031282725E0
3.094400583E0,3.757302007E-2,-4.364449471E-1,3.408632610E0
3.104382583E0,7.461063618E-2,-4.655927324E-1,2.653843608E0
3.114364583E0,5.278710061E-2,-4.826505223E-1,1.718932883E0
3.124346583E0,1.521048085E-2,-4.584861727E-1,7.135550219E-1
3.134328583E0,3.254821530E-2,-4.134803000E-1,-2.263708609E-1
3.144310583E0,6.530480160E-2,-3.703085527E-1,-1.102339899E0
3.154292583E0,3.986583210E-2,-2.936191034E-1,-1.968538240E0
3.164274583E0,3.917305581E-3,-2.044987661E-1,-2.834444219E0
3.174256583E0,-3.189033958E-2,-8.812484890E-2,-3.600630029E0
3.184238583E0,-3.689989134E-2,7.902804315E-3,-4.166354576E0
3.194220583E0,-3.516109386E-2,1.006533855E-1,-4.571290047E0
3.204202583E0,-5.032365495E-2,1.524481679E-1,-4.891635604E0
3.214184583E0,-6.798208177E-2,2.119539660E-1,-5.131179657E0
3.224166583E0,-7.601589569E-2,2.351894854E-1,-5.138041365E0
3.234148583E0,-4.617416009E-2,2.119425640E-1,-4.899306566E0
3.244130583E0,-4.453461452E-2,1.602331509E-1,-4.532955701E0
3.254111583E0,-4.330837118E-2,8.870957047E-2,-4.060467348E0
3.264093583E0,-5.843434148E-2,-1.533139944E-3,-3.501260108E0
3.274075583E0,-5.309058024E-2,-9.157572940E-2,-2.798147628E0
3.284057583E0,-2.562531296E-2,-1.925362399E-1,-1.888080552E0
3.294039583E0,8.132654708E-4,-2.615554579E-1,-9.649449492E-1
3.304021583E0,-7.058786144E-3,-3.046919757E-1,-9.509151399E-2
